Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Jean-Philippe Mateta,6,0,0,0,1,0,0,0,0,0,0,0,2,1.0,0.1,4.0,0.5,0,0.06180,0.00010,0.06190,0.03780,1
Eberechi Eze,73,0,0,0,1,0,0,0,0,0,0,0,10,1.0,2.5,15.0,1.9,1,0.11060,0.07473,0.18533,0.95330,2
Tyrick Mitchell,90,0,0,0,2,0,0,0,0,0,0,0,10,8.2,0.5,0.0,0.9,1,0.00000,0.00397,0.00397,1.13870,1
Michael Olise,90,0,0,0,2,0,0,0,0,0,0,0,16,13.8,36.2,4.0,5.4,1,0.00000,0.08592,0.08592,1.13870,2
Salomón Rondón,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.2,0,0.02170,0.00000,0.02170,0.22870,1
Seamus Coleman,90,0,0,0,1,0,0,0,0,0,0,0,15,25.8,15.9,6.0,4.8,1,0.00000,0.12398,0.12398,1.75470,2
Jordan Pickford,90,0,0,0,1,0,0,0,1,0,5,0,19,42.0,0.0,0.0,4.2,1,0.00000,0.00350,0.00350,1.75470,2
Abdoulaye Doucouré,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.22870,1
Alex Iwobi,90,0,1,0,1,0,0,0,0,0,0,0,20,36.8,42.7,2.0,8.2,1,0.00000,0.19611,0.19611,1.75470,5
Demarai Gray,90,0,0,0,1,0,0,0,0,0,0,0,3,15.2,20.4,41.0,7.7,1,0.60040,0.30052,0.90092,1.52600,2
Tom Davies,16,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0,0.00000,0.00000,0.00000,0.34210,1
Vitalii Mykolenko,90,0,0,0,1,0,0,0,0,0,0,0,16,33.0,13.1,0.0,4.6,1,0.00000,0.01199,0.01199,1.75470,2
Anthony Gordon,16,0,0,0,0,0,0,0,0,0,0,0,3,7.2,0.0,0.0,0.7,0,0.00000,0.00001,0.00001,0.34210,1
James Tarkowski,90,0,0,0,1,0,0,0,0,0,0,0,12,20.0,0.2,4.0,2.4,1,0.00000,0.00473,0.00473,1.75470,2
Tom Cairney,45,0,0,0,1,0,0,0,0,0,0,0,7,7.4,1.5,1.0,1.0,0,0.03650,0.00792,0.04442,1.25240,1
Tim Ream,90,0,0,0,4,0,0,0,0,0,0,0,7,3.8,1.0,0.0,0.5,1,0.00000,0.00295,0.00295,3.54560,0
Nathaniel Chalobah,7,0,0,0,4,0,0,0,0,1,0,0,-5,0.0,0.0,0.0,0.0,1,0.00000,0.00001,0.00001,6.72920,-2
Neeskens Kebano,20,0,1,0,0,0,0,0,0,0,0,0,19,21.8,15.0,2.0,3.9,0,0.00000,0.37207,0.37207,0.14990,4
Bobby Reid,90,1,0,0,4,0,0,0,0,0,0,0,23,37.0,2.1,37.0,7.6,1,0.27870,0.03664,0.31534,3.54560,7
Tosin Adarabioyo,90,0,0,0,4,0,0,0,0,0,0,0,8,8.2,0.2,0.0,0.8,1,0.00000,0.00075,0.00075,3.54560,0
Aleksandar Mitrovic,36,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.2,0.0,0.0,1,0.00000,0.00047,0.00047,1.83710,0
Harrison Reed,90,0,0,0,4,0,0,0,1,0,0,0,4,14.8,0.8,0.0,1.6,1,0.00000,0.00357,0.00357,3.54560,1
Liam Cooper,90,0,0,1,0,0,0,0,0,0,0,0,23,17.0,0.2,4.0,2.1,1,0.08290,0.00298,0.08588,2.24930,6
Luke Ayling,22,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.0,0.0,0.7,0,0.00000,0.00014,0.00014,0.89330,1
Mateusz Klich,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.0,1.5,0,0.06510,0.00001,0.06511,0.33590,1
Rodrigo,67,0,0,1,0,0,0,0,1,0,0,0,1,4.2,6.1,31.0,4.1,1,0.12450,0.01687,0.14137,1.35600,2
Patrick Bamford,22,0,0,0,0,0,0,0,0,0,0,0,3,5.0,10.3,19.0,3.4,0,0.09740,0.04341,0.14081,0.89330,1
Robin Koch,90,0,0,1,0,0,0,0,1,0,0,0,19,14.4,0.3,0.0,1.5,1,0.00000,0.00120,0.00120,2.24930,5
Daniel James,69,0,0,0,4,0,0,0,0,0,0,0,9,10.8,0.8,0.0,1.2,1,0.00000,0.00239,0.00239,3.39570,2
Jack Harrison,78,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.7,2.0,0.1,1,0.00000,0.02547,0.02547,1.91340,3
