player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Pierre-Emile Højbjerg,1421,15.78888888888889,4,2,4,1,0,9,70,4.375,3.2223180062391936
Pontus Jansson,514,5.711111111111111,0,0,2,0,0,0,17,2.4285714285714284,2.439750182371333
Raheem Sterling,1107,12.3,4,2,4,3,0,6,60,4.285714285714286,4.046433784658581
Raphael Varane,850,9.444444444444445,0,0,6,1,0,1,43,3.5833333333333335,2.7455197664338145
Rasmus Kristensen,1132,12.577777777777778,0,1,2,4,0,0,27,1.9285714285714286,1.9400351192017797
Raúl Jiménez,220,2.4444444444444446,0,0,1,0,0,0,6,1.5,0.5773502691896257
Rayan Ait Nouri,713,7.9222222222222225,1,0,3,2,0,0,30,2.5,2.6457513110645907
Reece James,610,6.777777777777778,1,1,1,3,0,5,27,3.375,3.020761493398643
Reiss Nelson,64,0.7111111111111111,2,1,1,0,0,3,20,10,12.727922061357855
Remo Freuler,1010,11.222222222222221,0,0,3,2,0,0,25,1.9230769230769231,0.49354811679282456
Renan Lodi,654,7.266666666666667,0,0,1,2,0,0,10,1.1111111111111112,1.90029237516523
Richarlison,434,4.822222222222222,0,3,0,2,0,1,21,2.1,1.8529256146249728
Rico Henry,1526,16.955555555555556,0,1,5,0,0,0,47,2.764705882352941,2.3326329481056884
Rico Lewis,188,2.088888888888889,0,0,1,1,0,0,10,2,1.7320508075688772
Riyad Mahrez,545,6.055555555555555,1,3,2,1,0,4,36,3.272727272727273,2.8316394223456167
Rob Holding,15,0.16666666666666666,0,0,0,0,0,0,5,1,0
Robert Sánchez,1440,16,0,0,4,1,0,7,58,3.625,2.9410882339705484
Roberto Firmino,928,10.311111111111112,7,3,3,0,0,9,69,5.3076923076923075,6.060591491823981
Robin Koch,1395,15.5,0,0,3,3,0,0,28,1.75,2.32379000772445
Robin Olsen,235,2.611111111111111,0,0,1,0,0,1,9,3,4
Rodri,1302,14.466666666666667,1,3,5,2,0,2,48,3.2,1.9346465162548798
Rodrigo,1038,11.533333333333333,9,1,3,1,0,6,82,5.466666666666667,4.823553323709262
Rodrigo Bentancur,1183,13.144444444444444,4,2,4,5,0,7,59,4.214285714285714,4.172779398924404
Romain Perraud,914,10.155555555555555,2,2,1,1,0,5,42,2.8,3.5294677866702306
Romeo Lavia,557,6.188888888888889,1,0,0,2,0,0,16,2,1.7728105208558367
Rúben Dias,871,9.677777777777777,0,0,5,0,0,0,40,3.3333333333333335,2.3868325657594203
Ruben Loftus-Cheek,952,10.577777777777778,0,0,4,1,0,0,25,1.7857142857142858,0.9749612559222292
Rúben Neves,1440,16,4,0,4,7,0,10,59,3.6875,3.3008837200563934
